av_hr_ta,av_vap_d,tot_sol_eng,soil_temp_5,av_wnd_spd,Eto
5.9,0.18,0,12.6,0.8,-0.01
5.7,0.18,0,12.3,0.3,-0.01
4.7,0.1,0,12,0.3,-0.02
3.8,0.1,0,11.7,0.5,-0.02
3.7,0.05,0,11.5,0.2,-0.02
4.6,0.11,0,11.2,0.4,-0.02
4.8,0.16,0,11,1.2,-0.01
7.2,0.29,0.02,10.8,1.1,0
7.9,0.3,0.43,10.6,1.2,0.02
11.4,0.49,1.04,10.5,2.6,0.15
13.6,0.71,1.58,10.5,4,0.29
16,0.97,1.95,10.8,4.6,0.41
18.2,1.3,2.11,11.3,4.4,0.47
19.6,1.54,2.05,11.9,3.5,0.46
20.7,1.71,1.76,12.6,3.5,0.41
21.1,1.78,1.29,13.3,3.5,0.31
20.9,1.75,0.69,13.9,2.1,0.14
18.3,1.35,0.11,14.2,1.1,0.07
14.6,0.88,0,14.3,0.3,0.01
11.1,0.48,0,14.1,0.7,0
10.1,0.42,0,13.9,0.6,0
8.1,0.25,0,13.6,0.2,-0.01
6.3,0.11,0,13.3,0.4,-0.02
5.9,0.12,0,13,0.4,-0.02
6,0.17,0,12.7,0.7,-0.01
4.9,0.08,0,12.4,0.5,-0.02
5.6,0.14,0,12.1,0.7,-0.01
4.8,0.1,0,11.8,0.5,-0.02
3.8,0.08,0,11.6,0.5,-0.02
4.1,0.07,0,11.3,1,-0.02
3.9,0.09,0,11.1,1.2,-0.02
4.5,0.11,0.02,10.9,1.2,-0.01
6.3,0.16,0.43,10.7,2.5,0.02
10.1,0.34,1.04,10.6,4.1,0.15
13.3,0.59,1.57,10.6,3.2,0.27
16.2,0.89,1.95,10.9,2.4,0.36
18.6,1.3,2.12,11.4,1.3,0.4
20,1.55,2.05,12.1,0.9,0.39
20.8,1.66,1.75,13,1.1,0.34
21.1,1.76,1.29,13.8,1.7,0.26
20.2,1.58,0.69,14.4,2.1,0.13
17.8,1.15,0.12,14.8,1.2,0.06
14.1,0.78,0,14.9,1.1,0.02
12.2,0.54,0,14.7,0.8,0.01
10.5,0.38,0,14.4,0.9,0
9.7,0.36,0,14.1,0.7,0
8.3,0.25,0,13.8,2,0
8.4,0.21,0,13.5,0.4,-0.01
6.4,0.12,0,13.2,0.7,-0.02
5.8,0.09,0,12.9,1,-0.02
6.4,0.11,0,12.6,1,-0.02
5.6,0.09,0,12.4,1,-0.02
5.5,0.09,0,12.1,1.5,-0.02
8.6,0.27,0,11.9,1.3,0
4.7,0.08,0,11.7,1.9,-0.02
6.9,0.14,0.03,11.5,2.1,-0.01
9,0.2,0.52,11.4,1.8,0.03
13.1,0.46,1.05,11.3,2.4,0.15
15.3,0.72,1.51,11.4,1.8,0.25
16.4,0.82,1.75,11.7,2,0.31
17.6,1.04,1.88,12.2,3.3,0.38
17.5,1.08,1,12.8,4.4,0.22
17.6,1.09,0.81,13.3,4.1,0.18
17.7,1.15,0.55,13.6,3,0.11
17,1.03,0.24,13.8,1.5,0.04
15.5,0.84,0.04,13.9,1.3,0.03
13.7,0.62,0,13.9,0.7,0.01
13.1,0.56,0,13.9,0.5,0
12.7,0.52,0,13.7,0.4,0
11.8,0.42,0,13.6,0.5,0
12.1,0.57,0,13.5,1.6,0.02
11.8,0.67,0,13.3,1.6,0.02
12.4,0.82,0,13.2,2.5,0.04
12.3,0.9,0,13,3.1,0.06
12.1,0.87,0,12.8,4,0.07
11.8,0.75,0,12.7,4.2,0.06
11.4,0.67,0,12.6,5.1,0.06
10.6,0.65,0,12.5,2.9,0.04
10.3,0.67,0,12.4,3.6,0.05
10.3,0.76,0.01,12.2,4,0.06
10.3,0.85,0.13,12.1,3.3,0.09
10.8,0.94,0.61,12.1,3.9,0.14
12.1,1.06,1.4,12.1,5.5,0.33
13.5,1.22,1.94,12.1,6.5,0.47
14.4,1.32,2.11,12.4,5.6,0.5
15.1,1.39,2.05,12.8,5.6,0.5
15.4,1.44,1.77,13.3,5.7,0.45
15.3,1.44,1.3,13.7,4.5,0.32
14.6,1.37,0.71,14,4,0.19
12.8,1.18,0.13,14.2,3.1,0.11
11.5,1.07,0,14.1,3,0.08
10.7,1,0,13.8,2.7,0.07
10.2,0.95,0,13.6,2.4,0.06
10,0.94,0,13.2,2.9,0.07
9.2,0.87,0,13,2,0.05
8.3,0.79,0,12.7,2.3,0.05
7.3,0.71,0,12.4,2.8,0.05
7.5,0.75,0,12.2,1.8,0.04
5.5,0.6,0,11.9,1,0.02
4.6,0.51,0,11.7,0.9,0.01
3.1,0.39,0,11.4,1,0.01
3.1,0.43,0,11.1,0.8,0.01
0,0.23,0,10.9,1.5,0
0.1,0.22,0.02,10.6,1,0
3,0.38,0.45,10.3,0.6,0.02
6.6,0.54,1.09,10.1,0.9,0.13
10.3,0.9,1.62,10.1,0.9,0.24
12.6,1.17,2.01,10.3,2.7,0.38
13.6,1.27,2.18,10.8,2.7,0.42
14.5,1.36,2.11,11.4,1.5,0.39
15.6,1.44,1.83,12.1,0.9,0.32
15.6,1.45,1.34,12.9,0.8,0.23
15.3,1.35,0.69,13.5,0.8,0.1
12.9,0.99,0.12,13.9,1,0.05
9.5,0.67,0,13.9,1.2,0.02
8.3,0.59,0,13.7,0.8,0.01
7.1,0.48,0,13.4,0.5,0.01
5.9,0.37,0,13.1,0.7,0
5.5,0.36,0,12.8,0.9,0
4,0.25,0,12.4,0.8,0
4,0.28,0,12.1,0.5,0
3.3,0.23,0,11.9,0.5,-0.01
2,0.11,0,11.6,0.8,-0.01
